"Value","Count"
"1",22.1979512814416,3
"2",27.1126389206579,3
"3",33.1154519586923,3
"4",40.4473043600674,21
"5",49.4024491055302,12
"6",60.340287597362,27
"7",73.6997936995958,15
"8",90.0171313005218,12
"9",109.947172452123,18
"10",134.289779684936,0
"11",164.021907299902,0
"12",200.336809974792,0
"13",244.69193226422,0
"14",298.86740096706,0
"15",365.037467865329,0
"16",445.857770082517,0
"17",544.571910125929,0
"18",665.141633044362,0
"19",812.405825167543,0
"20",992.274715605026,0
"21",1211.96707449258,1
"22",1480.29992758455,5
"23",1808.04241445606,65
"24",2208.34799188721,292
"25",2697.28232826851,407
"26",3294.46807528384,290
"27",4023.87239382231,511
"28",4914.76884029913,523
"29",6002.91221726103,107
"30",7331.973539156,7
"31",8955.29270348251,4
"32",10938.0192081652,6
"33",13359.7268296619,9
"34",16317.6071980155,9
